-17.5 11 -50 -0 -26.4666 3.94454 -26.5938 10.1794 -26.2121 -2.54486 -26.721 14.633 -19.9772 11.0701 -15.2692 1.39967 -17.4323 18.9592 -1.01794 -17.6868 -4.07178 30.9201 -3.81729 10.6884 
36.0824 -20.6015 -50 0 2.57071 -11.679 0 2.07657 4.57071 -22.2366 9.42429 13.345 17.5687 -12.2109 32.956 -16.0326 28.9073 -1.61981 38.9364 -20.7406 39.0636 2.16313 37.9184 -10.1794 
36.0824 20.6015 -50 -0 0 -2.07657 2.57071 11.679 9.42429 -13.345 4.57071 22.2366 17.5687 12.2109 28.9073 1.61981 32.956 16.0326 39.0636 -2.16313 38.9364 20.7406 37.9184 10.1794 
-26.95 -11 -50 0 -30.2473 -11.0748 -29.6857 -2.28351 -29.8059 -18.0277 -26.9214 7.69183 -21.7535 -7.69183 -18.869 -29.8059 -12.4992 5.04777 -4.64427 -30.0092 -3.72573 23.5562 -6.61017 -10.9368 
-26.95 11 -50 -0 -29.6857 2.28351 -30.2473 11.0748 -26.9214 -7.69183 -29.8059 18.0277 -21.7535 7.69183 -12.4992 -5.04777 -18.869 29.8059 -3.72573 -23.5562 -4.64427 30.0092 -6.61017 10.9368 
-48.97 -17.73 -50 -7 -47.24 -6.8 -46.76 -0.19 -46.6809 -16.7908 -46.57 4.31 -40.6225 -8.41294 -37.1371 -28.1233 -35.3344 4.20647 -18.6962 -31.9145 -20.4824 23.1023 -17.6244 -9.16947 
-48.97 17.73 -50 7 -46.76 0.19 -47.24 6.8 -46.57 -4.31 -46.6809 16.7908 -40.6225 8.41294 -35.3344 -4.20647 -37.1371 28.1233 -20.4824 -23.1023 -18.6962 31.9145 -17.6244 9.16947 
-26.9541 -31.6055 -50.0019 -0.0216974 -30.6514 -16.8165 -30.7706 -6.44037 -30.055 -29.1009 -30.2936 3.69725 -21.0324 -15.7442 -24.037 -26.0801 -15.2427 -1.07176 -4.96248 -32.0653 -7.85954 21.0779 -0.238168 -11.313 
-26.9541 31.6055 -50.0019 0.0216974 -30.7706 6.44037 -30.6514 16.8165 -30.2936 -3.69725 -30.055 29.1009 -21.0324 15.7442 -15.2427 1.07176 -24.037 26.0801 -7.85954 -21.0779 -4.96248 32.0653 -0.238168 11.313 
15.14 0 -50 0 0.127243 -4.07178 0.254486 4.45351 0 -16.13 0 16.13 13.3405 0.24037 17.0663 -7.45146 18.1479 6.85054 22.626 -28.9374 24.4122 28.342 22.5948 0.120185 
23.26 -21.95 -50 0 2 -15.44 4.44684 -1.20185 4 -25.21 7.81202 9.97535 13.8137 -12.6229 20.3112 -21.6333 20.2443 1.30992 28.5802 -31.0809 27.6275 19.2916 28.2229 -12.1466 
23.26 21.95 -50 -0 4.44684 1.20185 2 15.44 7.81202 -9.97535 4 25.21 13.8137 12.6229 20.2443 -1.30992 20.3112 21.6333 27.6275 -19.2916 28.5802 31.0809 28.2229 12.1466 
